"Final" "Home" "Open" "Close" "Change"
-3.00 1.00 4.50 4.50 0.00
1.00 0.00 2.00 1.00 1.00
3.00 1.00 -6.50 -7.00 0.50
-8.00 1.00 9.50 9.50 0.00
15.00 0.00 -3.50 -3.00 -0.50
-3.00 0.00 -3.50 -3.50 0.00
27.00 0.00 5.00 3.00 2.00
27.00 0.00 -9.50 -7.00 -2.50
-25.00 1.00 2.00 4.00 -2.00
-3.00 1.00 -7.00 -1.00 -6.00
-10.00 0.00 6.50 7.50 -1.00
-14.00 0.00 6.50 6.50 0.00
8.00 0.00 3.00 1.50 1.50
20.00 0.00 -3.00 -3.50 0.50
6.00 0.00 5.50 6.00 -0.50
3.00 1.00 -3.00 -4.50 1.50
-11.00 0.00 -4.00 -7.00 3.00
10.00 0.00 3.00 1.00 2.00
26.00 1.00 -21.00 -19.50 -1.50
11.00 1.00 3.50 3.50 0.00
3.00 0.00 -2.50 -5.50 3.00
1.00 1.00 0.00 3.00 -3.00
4.00 0.00 5.00 4.00 1.00
-2.00 1.00 9.50 12.50 -3.00
-10.00 0.00 -1.50 -3.00 1.50
-7.00 0.00 4.00 4.00 0.00
7.00 1.00 -6.50 -6.00 -0.50
-14.00 0.00 2.00 3.50 -1.50
2.00 1.00 -10.00 -10.00 0.00
2.00 0.00 -4.00 -6.50 2.50
3.00 0.00 3.50 3.00 0.50
-5.00 1.00 13.50 14.50 -1.00
-3.00 1.00 -6.00 -6.00 0.00
-35.00 1.00 -4.50 -3.00 -1.50
3.00 0.00 -7.00 -8.50 1.50
-17.00 1.00 -1.00 1.50 -2.50
-3.00 0.00 3.50 2.50 1.00
-3.00 0.00 2.00 4.50 -2.50
4.00 1.00 -14.00 -13.50 -0.50
-10.00 0.00 -3.00 -4.50 1.50
-23.00 1.00 6.50 6.00 0.50
-25.00 0.00 4.00 3.50 0.50
2.00 1.00 -3.00 -3.00 0.00
-7.00 0.00 1.00 2.50 -1.50
14.00 1.00 -6.50 -9.50 3.00
-6.00 0.00 -7.00 -7.00 0.00
8.00 1.00 -2.00 -1.50 -0.50
-6.00 1.00 2.50 3.00 -0.50
-7.00 0.00 5.00 3.00 2.00
-5.00 0.00 2.00 2.50 -0.50
-15.00 0.00 7.00 3.50 3.50
20.00 1.00 -3.00 3.00 -6.00
-7.00 0.00 -2.50 -2.50 0.00
24.00 0.00 -9.50 -10.50 1.00
3.00 1.00 -2.00 -1.50 -0.50
-11.00 0.00 0.00 1.50 -1.50
6.00 0.00 6.50 6.00 0.50
-3.00 1.00 -9.50 -7.00 -2.50
4.00 0.00 -7.00 -8.00 1.00
7.00 1.00 1.00 4.00 -3.00
6.00 1.00 -10.00 -9.50 -0.50
-3.00 1.00 -3.00 -4.50 1.50
16.00 0.00 -2.00 -3.00 1.00
-25.00 1.00 -2.00 -2.50 0.50
-37.00 0.00 0.00 -3.50 3.50
-3.00 0.00 -1.00 -1.00 0.00
-2.00 1.00 -2.50 6.50 -9.00
2.00 0.00 -6.00 -7.50 1.50
1.00 1.00 -3.50 -3.00 -0.50
19.00 0.00 4.00 3.00 1.00
-10.00 0.00 6.00 4.00 2.00
-17.00 1.00 7.00 7.50 -0.50
3.00 0.00 7.00 5.00 2.00
3.00 0.00 -3.00 -3.50 0.50
16.00 1.00 -7.50 -7.50 0.00
6.00 0.00 -3.50 -6.50 3.00
5.00 1.00 -9.50 -10.50 1.00
-4.00 1.00 -3.00 -3.00 0.00
-12.00 0.00 12.00 10.00 2.00
-6.00 1.00 3.00 3.00 0.00
-3.00 0.00 10.50 10.00 0.50
-3.00 1.00 9.00 7.50 1.50
-5.00 1.00 3.00 2.50 0.50
6.00 0.00 6.00 3.50 2.50
5.00 0.00 10.00 11.00 -1.00
10.00 0.00 -3.00 -3.00 0.00
14.00 1.00 -8.50 -8.50 0.00
45.00 0.00 0.00 2.00 -2.00
-6.00 0.00 14.00 13.00 1.00
10.00 0.00 1.00 1.50 -0.50
-6.00 1.00 -9.00 -5.50 -3.50
-17.00 0.00 9.00 8.50 0.50
-21.00 0.00 6.50 4.50 2.00
-7.00 1.00 8.00 8.50 -0.50
-21.00 1.00 7.50 7.50 0.00
-23.00 1.00 4.00 3.00 1.00
-19.00 1.00 1.50 3.00 -1.50
29.00 1.00 3.00 1.50 1.50
5.00 0.00 3.00 4.00 -1.00
-12.00 0.00 6.00 7.00 -1.00
6.00 0.00 -7.50 -7.00 -0.50
17.00 0.00 -2.50 -2.50 0.00
-37.00 0.00 14.00 16.00 -2.00
-3.00 0.00 -2.50 1.00 -3.50
-3.00 0.00 -7.00 -7.50 0.50
8.00 0.00 3.50 3.00 0.50
-16.00 0.00 0.00 2.00 -2.00
-5.00 1.00 2.50 3.00 -0.50
3.00 0.00 3.50 3.00 0.50
8.00 1.00 -9.50 -10.50 1.00
-29.00 1.00 5.00 6.00 -1.00
7.00 1.00 -6.50 -9.00 2.50
-21.00 0.00 8.50 10.00 -1.50
3.00 0.00 13.50 17.00 -3.50
10.00 1.00 -3.00 0.00 -3.00
-5.00 1.00 3.00 7.00 -4.00
-26.00 0.00 11.00 13.50 -2.50
-14.00 1.00 3.00 7.00 -4.00
7.00 1.00 -6.50 -7.00 0.50
-3.00 1.00 3.00 3.00 0.00
-8.00 0.00 -2.50 -3.50 1.00
10.00 1.00 11.50 16.00 -4.50
-19.00 0.00 6.50 7.00 -0.50
1.00 0.00 1.50 0.00 1.50
3.00 1.00 -2.50 -2.00 -0.50
7.00 1.00 10.50 7.00 3.50
6.00 0.00 8.50 9.00 -0.50
-4.00 0.00 3.00 0.00 3.00
7.00 0.00 3.00 0.00 3.00
14.00 1.00 -10.00 -10.50 0.50
3.00 1.00 -12.50 -12.00 -0.50
11.00 1.00 -1.50 -1.00 -0.50
20.00 1.00 0.00 3.00 -3.00
-26.00 0.00 4.50 3.00 1.50
29.00 0.00 -4.50 -7.50 3.00
14.00 1.00 -12.50 -16.00 3.50
19.00 0.00 -5.00 -4.50 -0.50
-4.00 0.00 3.00 0.00 3.00
-2.00 0.00 4.00 11.50 -7.50
3.00 0.00 -4.50 -7.50 3.00
26.00 0.00 -6.00 -6.00 0.00
14.00 1.00 -9.00 -3.00 -6.00
-2.00 1.00 3.50 3.00 0.50
-17.00 0.00 7.00 7.50 -0.50
35.00 0.00 -13.00 -14.00 1.00
30.00 1.00 -5.50 3.00 -8.50
-17.00 1.00 -1.50 7.50 -9.00
3.00 0.00 -6.50 -7.50 1.00
-1.00 1.00 -2.50 2.50 -5.00
-3.00 0.00 7.00 7.50 -0.50
-10.00 1.00 -4.50 -3.00 -1.50
-8.00 1.00 7.00 10.50 -3.50
7.00 0.00 -4.50 -3.50 -1.00
-12.00 0.00 10.50 12.50 -2.00
11.00 0.00 3.50 5.50 -2.00
14.00 1.00 -7.00 -7.50 0.50
-14.00 0.00 0.00 2.50 -2.50
-5.00 0.00 0.00 9.00 -9.00
10.00 0.00 0.00 2.50 -2.50
-5.00 1.00 -3.00 -3.00 0.00
-14.00 0.00 4.50 3.00 1.50
-22.00 0.00 -2.50 -3.50 1.00
